platform,brand,campaign_type,spend,impressions,clicks,orders,revenue,day_of_week,is_weekend,CTR,ROAS,CPC,is_risky
Zepto,Oreo,Sponsored_Display,8856.1,90928,699,11,1271.74,4,0,0.0077,0.14,12.67,1
Zepto,Ariel,Sponsored_Display,42770.17,522789,4853,77,50318.43,6,1,0.0093,1.18,8.81,1
Zepto,Ariel,Sponsored_Products,1154.83,7128,314,20,12751.06,3,0,0.0441,11.04,3.68,0
Zepto,Surf_Excel,Sponsored_Brands,25833.13,117073,2286,146,117532.53,5,1,0.0195,4.55,11.3,0
Blinkit,Knorr,Sponsored_Display,38587.41,483541,4788,128,16982.85,0,0,0.0099,0.44,8.06,1
Blinkit,Knorr,Sponsored_Products,46772.38,368434,10804,751,103702.04,0,0,0.0293,2.22,4.33,1
Zepto,Cadbury,Sponsored_Brands,45505.51,222711,3258,132,36222.59,3,0,0.0146,0.8,13.97,1
Zepto,Dove,Sponsored_Brands,41071.43,187642,3564,238,119557.97,0,0,0.019,2.91,11.52,1
Blinkit,Knorr,Sponsored_Products,44465.47,364821,10262,827,135791.26,5,1,0.0281,3.05,4.33,0
Blinkit,Knorr,Sponsored_Products,10361.37,81865,3612,217,30865.94,6,1,0.0441,2.98,2.87,1
Blinkit,Oreo,Sponsored_Display,14567.12,175988,1019,21,2646.58,0,0,0.0058,0.18,14.3,1
Swiggy,Oreo,Sponsored_Brands,14803.94,78971,1409,45,5123.73,3,0,0.0178,0.35,10.51,1
Swiggy,Sunfeast,Sponsored_Brands,19164.17,93863,1849,73,13837.01,2,0,0.0197,0.72,10.36,1
Swiggy,Bingo,Sponsored_Products,19969.37,180993,7520,681,60538.0,2,0,0.0415,3.03,2.66,0
Zepto,Bingo,Sponsored_Brands,27455.49,122363,2834,106,9367.4,1,0,0.0232,0.34,9.69,1
Swiggy,Surf_Excel,Sponsored_Display,8414.05,136515,1258,22,15519.72,0,0,0.0092,1.84,6.69,1
Zepto,Bingo,Sponsored_Brands,34716.71,144005,2638,136,12930.85,6,1,0.0183,0.37,13.16,1
Zepto,Cadbury,Sponsored_Products,8794.54,54100,1929,143,39548.13,3,0,0.0357,4.5,4.56,0
Swiggy,Surf_Excel,Sponsored_Products,15860.27,144296,3918,350,259360.76,0,0,0.0272,16.35,4.05,0
Zepto,Sunfeast,Sponsored_Display,25415.58,291364,1910,41,6673.23,4,0,0.0066,0.26,13.31,1
Swiggy,Oreo,Sponsored_Display,39923.81,546850,4207,89,11689.13,5,1,0.0077,0.29,9.49,1
Swiggy,Bingo,Sponsored_Brands,37103.73,239231,3907,180,18198.64,0,0,0.0163,0.49,9.5,1
Blinkit,Dove,Sponsored_Brands,32453.95,147149,2595,136,71813.92,0,0,0.0176,2.21,12.51,1
Swiggy,Oreo,Sponsored_Products,8210.78,81666,3625,214,23330.14,2,0,0.0444,2.84,2.27,1
Blinkit,Ariel,Sponsored_Display,27578.74,305466,2561,63,45650.59,5,1,0.0084,1.66,10.77,1
Swiggy,Cadbury,Sponsored_Display,4828.6,64705,374,5,1368.37,3,0,0.0058,0.28,12.91,1
Swiggy,Oreo,Sponsored_Display,19179.48,278877,2066,38,3998.02,0,0,0.0074,0.21,9.28,1
Blinkit,Cadbury,Sponsored_Brands,20969.07,114903,1954,130,30109.5,2,0,0.017,1.44,10.73,1
Blinkit,Cadbury,Sponsored_Display,2470.67,30844,301,5,1128.2,1,0,0.0098,0.46,8.21,1
Swiggy,Cadbury,Sponsored_Products,14062.41,111879,4035,355,99743.89,5,1,0.0361,7.09,3.49,0
Zepto,Sunfeast,Sponsored_Products,47804.65,324202,11302,613,119617.81,2,0,0.0349,2.5,4.23,1
Blinkit,Cadbury,Sponsored_Brands,47704.81,266308,5859,274,70279.72,2,0,0.022,1.47,8.14,1
Zepto,Cadbury,Sponsored_Brands,17940.19,82896,1992,83,20614.23,6,1,0.024,1.15,9.01,1
Zepto,Ariel,Sponsored_Display,2633.46,28525,267,5,3377.05,2,0,0.0094,1.28,9.86,1
Zepto,Dove,Sponsored_Brands,9365.2,37679,701,41,19785.71,6,1,0.0186,2.11,13.36,1
Blinkit,Surf_Excel,Sponsored_Products,19914.78,153787,6604,592,481391.23,0,0,0.0429,24.17,3.02,0
Zepto,Knorr,Sponsored_Display,47415.1,540356,3337,81,11996.08,0,0,0.0062,0.25,14.21,1
Blinkit,Ariel,Sponsored_Products,7489.35,51289,2273,203,146910.01,1,0,0.0443,19.62,3.29,0
Zepto,Surf_Excel,Sponsored_Display,38294.03,489326,4152,56,40530.6,4,0,0.0085,1.06,9.22,1
Swiggy,Cadbury,Sponsored_Brands,5879.79,36099,664,28,6867.2,4,0,0.0184,1.17,8.86,1
Swiggy,Dove,Sponsored_Display,49072.25,680805,4409,83,47170.5,4,0,0.0065,0.96,11.13,1
Blinkit,Oreo,Sponsored_Display,19390.02,226204,1631,43,5082.56,6,1,0.0072,0.26,11.89,1
Swiggy,Dove,Sponsored_Products,38874.11,318123,7917,631,348525.22,5,1,0.0249,8.97,4.91,0
Swiggy,Ariel,Sponsored_Products,17458.26,170389,4500,420,285358.52,5,1,0.0264,16.35,3.88,0
Zepto,Cadbury,Sponsored_Display,31569.61,374858,3165,78,17253.58,1,0,0.0084,0.55,9.97,1
Blinkit,Dove,Sponsored_Brands,10004.8,44787,632,27,16397.16,5,1,0.0141,1.64,15.83,1
Zepto,Bingo,Sponsored_Brands,7728.04,37832,560,19,1684.61,4,0,0.0148,0.22,13.8,1
Zepto,Dove,Sponsored_Products,46934.17,336705,13343,1380,722039.45,4,0,0.0396,15.38,3.52,0
Zepto,Cadbury,Sponsored_Brands,45923.54,207677,5171,314,73063.96,2,0,0.0249,1.59,8.88,1
Zepto,Sunfeast,Sponsored_Products,44429.71,304137,13247,780,146719.66,5,1,0.0436,3.3,3.35,0
Zepto,Bingo,Sponsored_Brands,31458.96,146962,2907,102,8618.72,0,0,0.0198,0.27,10.82,1
Zepto,Dove,Sponsored_Display,40509.28,406103,2825,55,30229.49,0,0,0.007,0.75,14.34,1
Zepto,Knorr,Sponsored_Products,3917.33,27506,1100,111,17359.03,2,0,0.04,4.43,3.56,0
Blinkit,Knorr,Sponsored_Products,17072.06,147906,6561,429,66288.5,2,0,0.0444,3.88,2.6,0
Swiggy,Dove,Sponsored_Display,16028.3,196991,1784,38,19613.31,2,0,0.0091,1.22,8.98,1
Zepto,Sunfeast,Sponsored_Products,31964.44,215897,8780,508,103793.88,0,0,0.0407,3.25,3.64,0
Zepto,Oreo,Sponsored_Brands,18119.91,88458,2112,107,12505.47,4,0,0.0239,0.69,8.58,1
Zepto,Cadbury,Sponsored_Brands,7851.09,34840,793,37,9678.18,2,0,0.0228,1.23,9.9,1
Zepto,Knorr,Sponsored_Products,30025.12,197459,5053,506,73478.08,1,0,0.0256,2.45,5.94,1
Zepto,Oreo,Sponsored_Brands,40812.0,201087,3981,253,30361.05,6,1,0.0198,0.74,10.25,1
Zepto,Dove,Sponsored_Products,19415.11,154452,5328,573,322579.58,2,0,0.0345,16.61,3.64,0
Swiggy,Ariel,Sponsored_Display,7047.3,97837,658,11,8113.25,6,1,0.0067,1.15,10.71,1
Swiggy,Oreo,Sponsored_Products,10236.07,95258,4179,320,37485.07,3,0,0.0439,3.66,2.45,0
Zepto,Bingo,Sponsored_Display,12255.42,135010,1119,22,1917.82,2,0,0.0083,0.16,10.95,1
Swiggy,Surf_Excel,Sponsored_Brands,15344.93,77938,1598,53,43676.42,0,0,0.0205,2.85,9.6,1
Blinkit,Knorr,Sponsored_Display,32318.36,356183,2626,43,6222.95,5,1,0.0074,0.19,12.31,1
Zepto,Dove,Sponsored_Brands,30246.8,121647,1971,81,43207.35,2,0,0.0162,1.43,15.35,1
Blinkit,Ariel,Sponsored_Products,34955.95,247053,8420,570,369890.9,5,1,0.0341,10.58,4.15,0
Blinkit,Cadbury,Sponsored_Brands,18443.85,103126,2201,127,34562.75,3,0,0.0213,1.87,8.38,1
Zepto,Ariel,Sponsored_Products,41287.88,256948,11400,749,462461.39,1,0,0.0444,11.2,3.62,0
Swiggy,Sunfeast,Sponsored_Products,10602.34,81016,3639,328,56870.67,5,1,0.0449,5.36,2.91,0
Blinkit,Bingo,Sponsored_Display,23717.52,303446,1713,36,2958.78,6,1,0.0056,0.12,13.85,1
Zepto,Dove,Sponsored_Display,40146.47,479431,3774,81,48610.49,4,0,0.0079,1.21,10.64,1
Blinkit,Cadbury,Sponsored_Display,9417.85,120099,1145,32,7415.22,2,0,0.0095,0.79,8.23,1
Blinkit,Sunfeast,Sponsored_Display,5938.22,79358,462,11,2052.07,3,0,0.0058,0.35,12.85,1
Blinkit,Sunfeast,Sponsored_Brands,44242.36,202256,4903,348,62111.07,3,0,0.0242,1.4,9.02,1
Blinkit,Dove,Sponsored_Brands,17475.02,92343,1905,72,36780.61,5,1,0.0206,2.1,9.17,1
Swiggy,Bingo,Sponsored_Brands,34351.57,194075,3314,117,10343.96,1,0,0.0171,0.3,10.37,1
Blinkit,Oreo,Sponsored_Products,1754.76,12364,323,22,2576.03,0,0,0.0261,1.47,5.43,1
Blinkit,Oreo,Sponsored_Brands,34657.32,181168,3234,236,27734.05,2,0,0.0179,0.8,10.72,1
Blinkit,Sunfeast,Sponsored_Brands,16147.01,82462,2020,96,16289.07,3,0,0.0245,1.01,7.99,1
Swiggy,Oreo,Sponsored_Brands,3259.17,17548,366,11,1240.11,1,0,0.0209,0.38,8.9,1
Blinkit,Surf_Excel,Sponsored_Display,30685.73,420423,3372,77,57727.03,4,0,0.008,1.88,9.1,1
Blinkit,Sunfeast,Sponsored_Brands,12419.79,56313,1277,49,8119.35,3,0,0.0227,0.65,9.73,1
Swiggy,Sunfeast,Sponsored_Products,19646.96,186952,8421,461,81647.32,1,0,0.045,4.16,2.33,0
Swiggy,Cadbury,Sponsored_Display,4488.75,59841,372,6,1487.95,0,0,0.0062,0.33,12.07,1
Swiggy,Oreo,Sponsored_Products,7784.58,77171,3371,299,35423.32,0,0,0.0437,4.55,2.31,0
Blinkit,Bingo,Sponsored_Brands,15249.87,88728,2272,127,10829.41,3,0,0.0256,0.71,6.71,1
Swiggy,Sunfeast,Sponsored_Display,4943.1,78920,817,10,1845.14,6,1,0.0104,0.37,6.05,1
Swiggy,Ariel,Sponsored_Products,45585.9,343379,10187,750,518510.01,3,0,0.0297,11.37,4.47,0
Blinkit,Bingo,Sponsored_Brands,799.33,4592,75,3,274.07,5,1,0.0163,0.34,10.66,1
Swiggy,Surf_Excel,Sponsored_Products,24451.08,204475,5934,535,437543.04,2,0,0.029,17.89,4.12,0
Blinkit,Cadbury,Sponsored_Products,6600.75,53129,1563,94,22757.62,1,0,0.0294,3.45,4.22,0
Zepto,Dove,Sponsored_Products,15730.11,108902,4827,358,204315.95,3,0,0.0443,12.99,3.26,0
Swiggy,Bingo,Sponsored_Brands,46339.95,256477,4415,192,17534.02,2,0,0.0172,0.38,10.5,1
Zepto,Sunfeast,Sponsored_Brands,8503.88,34141,613,21,3793.99,5,1,0.018,0.45,13.87,1
Blinkit,Surf_Excel,Sponsored_Products,48308.7,412651,16700,1968,1558899.68,2,0,0.0405,32.27,2.89,0
Swiggy,Knorr,Sponsored_Display,10686.82,133405,1198,21,3286.6,3,0,0.009,0.31,8.92,1
Blinkit,Surf_Excel,Sponsored_Display,37207.52,467882,3458,76,56101.77,0,0,0.0074,1.51,10.76,1
Zepto,Surf_Excel,Sponsored_Brands,27560.52,111826,2470,135,94110.07,1,0,0.0221,3.41,11.16,0
Blinkit,Cadbury,Sponsored_Brands,44281.7,249815,3733,209,51689.12,1,0,0.0149,1.17,11.86,1
Swiggy,Dove,Sponsored_Brands,27922.67,176930,3392,118,71658.09,0,0,0.0192,2.57,8.23,1
Swiggy,Knorr,Sponsored_Brands,26960.68,141808,2539,82,13182.72,6,1,0.0179,0.49,10.62,1
Zepto,Oreo,Sponsored_Brands,10175.17,47333,1032,34,4349.02,3,0,0.0218,0.43,9.86,1
Blinkit,Oreo,Sponsored_Display,8728.35,116881,689,12,1582.67,1,0,0.0059,0.18,12.67,1
Swiggy,Bingo,Sponsored_Brands,45866.21,275482,4074,208,18809.77,3,0,0.0148,0.41,11.26,1
Zepto,Surf_Excel,Sponsored_Products,16727.99,121970,3544,317,251694.64,5,1,0.0291,15.05,4.72,0
Swiggy,Ariel,Sponsored_Products,18918.07,157115,5249,364,243001.33,3,0,0.0334,12.84,3.6,0
Swiggy,Cadbury,Sponsored_Display,38111.27,531675,4364,68,15258.99,2,0,0.0082,0.4,8.73,1
Blinkit,Ariel,Sponsored_Products,17271.76,124840,3573,356,234778.25,0,0,0.0286,13.59,4.83,0
Swiggy,Cadbury,Sponsored_Display,47627.09,667661,4917,64,15642.82,6,1,0.0074,0.33,9.69,1
Blinkit,Oreo,Sponsored_Display,37027.42,440914,3075,66,7219.1,3,0,0.007,0.19,12.04,1
Swiggy,Bingo,Sponsored_Products,30072.75,299951,12997,746,62082.21,6,1,0.0433,2.06,2.31,1
Zepto,Bingo,Sponsored_Brands,44104.31,225703,4891,172,14555.18,6,1,0.0217,0.33,9.02,1
Swiggy,Bingo,Sponsored_Products,2955.49,26537,1045,78,6778.17,5,1,0.0394,2.29,2.83,1
Blinkit,Knorr,Sponsored_Products,13224.6,114962,4112,346,50005.25,4,0,0.0358,3.78,3.22,0
Blinkit,Dove,Sponsored_Display,23519.3,264523,2750,65,34104.99,0,0,0.0104,1.45,8.55,1
Zepto,Knorr,Sponsored_Products,11735.44,88516,3060,222,35581.13,6,1,0.0346,3.03,3.84,0
Swiggy,Sunfeast,Sponsored_Display,37323.31,538837,4009,89,16691.54,1,0,0.0074,0.45,9.31,1
Swiggy,Sunfeast,Sponsored_Brands,46000.8,268942,6405,195,37751.07,2,0,0.0238,0.82,7.18,1
Zepto,Ariel,Sponsored_Brands,21476.62,100695,2010,112,71292.43,1,0,0.02,3.32,10.68,0
Swiggy,Dove,Sponsored_Brands,17435.56,98437,1783,60,32588.48,5,1,0.0181,1.87,9.78,1
Swiggy,Oreo,Sponsored_Products,48096.76,423320,16404,1116,147730.83,5,1,0.0388,3.07,2.93,0
Blinkit,Dove,Sponsored_Display,22520.2,257729,1579,32,17144.0,1,0,0.0061,0.76,14.26,1
Swiggy,Cadbury,Sponsored_Brands,24707.9,123849,1850,58,15070.38,0,0,0.0149,0.61,13.36,1
Swiggy,Sunfeast,Sponsored_Display,17906.67,236720,1942,43,6894.58,1,0,0.0082,0.39,9.22,1
Zepto,Surf_Excel,Sponsored_Display,45522.65,508633,5159,97,70981.31,3,0,0.0101,1.56,8.82,1
Zepto,Surf_Excel,Sponsored_Brands,28663.3,115387,2774,187,121946.84,1,0,0.024,4.25,10.33,0
Blinkit,Oreo,Sponsored_Brands,38227.64,185061,4413,206,24103.06,2,0,0.0238,0.63,8.66,1
Swiggy,Cadbury,Sponsored_Display,40684.43,651808,4806,87,22515.76,2,0,0.0074,0.55,8.47,1
Swiggy,Ariel,Sponsored_Brands,17421.53,101193,2161,103,71700.32,4,0,0.0214,4.12,8.06,0
Swiggy,Knorr,Sponsored_Display,21967.87,328840,1975,26,3685.25,2,0,0.006,0.17,11.12,1
Blinkit,Cadbury,Sponsored_Display,42499.35,482013,4322,114,27386.92,1,0,0.009,0.64,9.83,1
Blinkit,Surf_Excel,Sponsored_Brands,18481.14,95450,1556,59,47258.75,2,0,0.0163,2.56,11.88,1
Zepto,Surf_Excel,Sponsored_Products,39799.79,309228,7879,754,555236.41,0,0,0.0255,13.95,5.05,0
Blinkit,Ariel,Sponsored_Brands,47079.12,221824,5623,290,202872.58,6,1,0.0253,4.31,8.37,0
Swiggy,Sunfeast,Sponsored_Products,31348.91,257838,8751,493,89134.22,2,0,0.0339,2.84,3.58,1
Swiggy,Cadbury,Sponsored_Display,37210.55,472761,4317,87,20510.97,3,0,0.0091,0.55,8.62,1
Blinkit,Cadbury,Sponsored_Display,40352.32,504358,4989,142,33378.62,0,0,0.0099,0.83,8.09,1
Swiggy,Surf_Excel,Sponsored_Products,42329.46,420047,13530,1003,716531.66,4,0,0.0322,16.93,3.13,0
Swiggy,Knorr,Sponsored_Display,20055.14,326735,2094,40,6517.97,3,0,0.0064,0.33,9.58,1
Blinkit,Oreo,Sponsored_Products,3037.54,22009,850,69,7170.99,1,0,0.0386,2.36,3.57,1
Blinkit,Bingo,Sponsored_Products,20392.88,155259,6005,498,46990.31,6,1,0.0387,2.3,3.4,1
Swiggy,Oreo,Sponsored_Display,33850.93,539009,3515,78,10167.15,1,0,0.0065,0.3,9.63,1
Swiggy,Cadbury,Sponsored_Products,22792.34,220054,9967,572,135455.5,6,1,0.0453,5.94,2.29,0
Swiggy,Oreo,Sponsored_Brands,37573.68,223416,4919,171,21691.64,6,1,0.022,0.58,7.64,1
Zepto,Surf_Excel,Sponsored_Brands,18170.63,87303,1924,75,56711.02,1,0,0.022,3.12,9.44,0
Zepto,Surf_Excel,Sponsored_Display,31919.83,397132,2821,44,35286.09,3,0,0.0071,1.11,11.32,1
Zepto,Ariel,Sponsored_Display,9727.78,119689,928,16,11949.61,3,0,0.0078,1.23,10.48,1
Blinkit,Cadbury,Sponsored_Products,37593.79,294661,12547,1155,274082.26,6,1,0.0426,7.29,3.0,0
Zepto,Ariel,Sponsored_Products,27511.95,191619,7313,745,520646.37,3,0,0.0382,18.92,3.76,0
Blinkit,Cadbury,Sponsored_Products,10601.19,75844,2636,249,62983.86,6,1,0.0348,5.94,4.02,0
Blinkit,Bingo,Sponsored_Products,14949.6,109499,2784,215,18947.56,6,1,0.0254,1.27,5.37,1
Zepto,Bingo,Sponsored_Brands,37556.13,199156,3864,171,14839.37,0,0,0.0194,0.4,9.72,1
Zepto,Sunfeast,Sponsored_Brands,24388.76,123256,2745,139,23095.25,5,1,0.0223,0.95,8.88,1
Zepto,Cadbury,Sponsored_Display,11193.56,123790,736,11,2593.84,0,0,0.0059,0.23,15.21,1
Swiggy,Knorr,Sponsored_Products,48379.92,384396,15499,1285,198821.3,1,0,0.0403,4.11,3.12,0
Zepto,Oreo,Sponsored_Products,35898.69,240763,6093,529,67010.34,5,1,0.0253,1.87,5.89,1
Swiggy,Cadbury,Sponsored_Display,47878.17,694669,4815,95,25580.83,2,0,0.0069,0.53,9.94,1
Blinkit,Dove,Sponsored_Products,21641.7,174740,7106,652,387130.74,1,0,0.0407,17.89,3.05,0
Swiggy,Sunfeast,Sponsored_Products,24017.47,204198,7481,633,119218.98,4,0,0.0366,4.96,3.21,0
Zepto,Dove,Sponsored_Products,44948.78,362952,16038,1310,735762.04,0,0,0.0442,16.37,2.8,0
Blinkit,Surf_Excel,Sponsored_Products,26489.94,232057,9428,973,688660.9,3,0,0.0406,26.0,2.81,0
Blinkit,Bingo,Sponsored_Products,35510.31,248019,6453,719,62133.14,0,0,0.026,1.75,5.5,1
Blinkit,Oreo,Sponsored_Display,12982.56,143511,1271,26,3187.75,3,0,0.0089,0.25,10.21,1
Swiggy,Cadbury,Sponsored_Products,22612.96,207113,9409,796,201796.77,5,1,0.0454,8.92,2.4,0
Zepto,Dove,Sponsored_Display,6610.77,86872,499,10,5809.87,4,0,0.0057,0.88,13.25,1
Blinkit,Oreo,Sponsored_Products,10696.01,74646,1881,150,16963.54,5,1,0.0252,1.59,5.69,1
Blinkit,Surf_Excel,Sponsored_Brands,546.7,3136,80,4,3229.27,4,0,0.0255,5.91,6.83,0
Blinkit,Bingo,Sponsored_Brands,2443.62,10665,220,16,1329.75,0,0,0.0206,0.54,11.11,1
Swiggy,Knorr,Sponsored_Brands,48875.55,242240,3798,123,18959.74,3,0,0.0157,0.39,12.87,1
Swiggy,Sunfeast,Sponsored_Brands,12496.51,68553,1394,47,7851.52,5,1,0.0203,0.63,8.96,1
Zepto,Oreo,Sponsored_Display,33333.88,432279,3736,96,11028.03,4,0,0.0086,0.33,8.92,1
Swiggy,Oreo,Sponsored_Display,42035.44,668291,5679,78,9606.88,6,1,0.0085,0.23,7.4,1
Blinkit,Knorr,Sponsored_Products,27757.69,215892,8007,542,83546.95,1,0,0.0371,3.01,3.47,0
Zepto,Oreo,Sponsored_Brands,8080.65,35024,557,32,3527.92,1,0,0.0159,0.44,14.51,1
Blinkit,Surf_Excel,Sponsored_Display,36541.76,494255,4543,83,69627.67,5,1,0.0092,1.91,8.04,1
Blinkit,Surf_Excel,Sponsored_Products,30212.44,255688,9560,598,448130.81,3,0,0.0374,14.83,3.16,0
Swiggy,Knorr,Sponsored_Products,36696.9,299333,11261,687,96544.27,6,1,0.0376,2.63,3.26,1
Zepto,Sunfeast,Sponsored_Display,38602.46,411618,3301,76,12765.0,5,1,0.008,0.33,11.69,1
Swiggy,Cadbury,Sponsored_Brands,48782.81,285200,4081,163,44939.13,0,0,0.0143,0.92,11.95,1
Swiggy,Dove,Sponsored_Products,28891.38,245593,8366,405,227973.16,4,0,0.0341,7.89,3.45,0
Zepto,Cadbury,Sponsored_Brands,17411.24,69826,1387,62,16015.34,0,0,0.0199,0.92,12.55,1
Blinkit,Oreo,Sponsored_Brands,32599.0,159108,3276,145,17413.7,1,0,0.0206,0.53,9.95,1
Blinkit,Dove,Sponsored_Brands,3887.82,18199,255,18,8989.7,4,0,0.014,2.31,15.25,1
Zepto,Ariel,Sponsored_Products,44921.17,338127,8553,504,369107.48,5,1,0.0253,8.22,5.25,0
Blinkit,Knorr,Sponsored_Brands,6409.36,36228,554,35,5485.65,0,0,0.0153,0.86,11.57,1
Zepto,Knorr,Sponsored_Products,16728.22,136616,3987,220,30174.31,2,0,0.0292,1.8,4.2,1
Zepto,Sunfeast,Sponsored_Brands,40879.4,202198,4083,169,34443.91,3,0,0.0202,0.84,10.01,1
Swiggy,Dove,Sponsored_Products,30066.96,251933,8047,531,293430.57,6,1,0.0319,9.76,3.74,0
Zepto,Surf_Excel,Sponsored_Brands,19984.96,92178,2238,147,107279.81,6,1,0.0243,5.37,8.93,0
Swiggy,Dove,Sponsored_Display,23935.07,378401,2483,42,22561.4,3,0,0.0066,0.94,9.64,1
Blinkit,Oreo,Sponsored_Brands,42800.1,238444,4642,274,33742.48,2,0,0.0195,0.79,9.22,1
Blinkit,Surf_Excel,Sponsored_Brands,17330.22,78013,1624,86,58709.36,1,0,0.0208,3.39,10.67,0
Blinkit,Bingo,Sponsored_Products,43547.66,305579,11430,1240,107213.47,4,0,0.0374,2.46,3.81,1
Blinkit,Bingo,Sponsored_Products,4862.65,43795,1352,135,12592.77,3,0,0.0309,2.59,3.6,1
Swiggy,Ariel,Sponsored_Brands,38951.52,216680,4128,174,107891.35,2,0,0.0191,2.77,9.44,1
Blinkit,Bingo,Sponsored_Display,42453.61,583791,3424,59,4849.71,5,1,0.0059,0.11,12.4,1
Zepto,Knorr,Sponsored_Display,9499.97,114248,1173,18,2579.55,6,1,0.0103,0.27,8.1,1
Zepto,Dove,Sponsored_Products,21802.15,178834,7533,405,251862.33,2,0,0.0421,11.55,2.89,0
Zepto,Bingo,Sponsored_Display,8692.24,97734,802,18,1606.72,1,0,0.0082,0.18,10.84,1
Swiggy,Cadbury,Sponsored_Brands,35476.9,228268,3344,146,38291.83,1,0,0.0146,1.08,10.61,1
Blinkit,Sunfeast,Sponsored_Products,26999.71,235637,9844,690,119339.49,0,0,0.0418,4.42,2.74,0
Blinkit,Cadbury,Sponsored_Brands,31948.51,164675,2603,144,37948.65,3,0,0.0158,1.19,12.27,1
Blinkit,Bingo,Sponsored_Products,10226.1,78884,3339,336,29450.94,0,0,0.0423,2.88,3.06,1
Swiggy,Ariel,Sponsored_Products,10981.42,84142,3081,179,119618.81,6,1,0.0366,10.89,3.56,0
Zepto,Sunfeast,Sponsored_Products,2554.12,20691,938,56,10564.53,2,0,0.0453,4.14,2.72,0
Zepto,Oreo,Sponsored_Products,16442.34,115251,4955,372,42947.73,4,0,0.043,2.61,3.32,1
Blinkit,Cadbury,Sponsored_Display,28207.36,414471,2808,70,15549.71,4,0,0.0068,0.55,10.05,1
Zepto,Ariel,Sponsored_Brands,42967.78,200668,4369,251,152989.46,1,0,0.0218,3.56,9.83,0
Zepto,Dove,Sponsored_Brands,33512.91,134554,2305,144,87272.99,4,0,0.0171,2.6,14.54,1
Swiggy,Dove,Sponsored_Brands,22052.12,136026,3246,174,95963.16,4,0,0.0239,4.35,6.79,0
Swiggy,Cadbury,Sponsored_Products,47679.45,438779,11873,861,215841.12,6,1,0.0271,4.53,4.02,0
Swiggy,Bingo,Sponsored_Display,36102.64,505160,3710,73,6858.73,4,0,0.0073,0.19,9.73,1
Swiggy,Ariel,Sponsored_Brands,46543.18,268112,4207,206,152819.21,2,0,0.0157,3.28,11.06,0
Blinkit,Dove,Sponsored_Display,26615.6,356334,3621,55,29505.96,4,0,0.0102,1.11,7.35,1
Swiggy,Oreo,Sponsored_Products,13315.76,101786,3626,292,36057.1,5,1,0.0356,2.71,3.67,1
Zepto,Surf_Excel,Sponsored_Brands,3114.92,16433,403,18,12458.83,4,0,0.0245,4.0,7.73,0
Blinkit,Bingo,Sponsored_Display,36441.2,442466,2544,47,3804.2,4,0,0.0057,0.1,14.32,1
Zepto,Ariel,Sponsored_Products,6504.5,40666,1835,161,106213.77,0,0,0.0451,16.33,3.54,0
Zepto,Oreo,Sponsored_Display,15487.37,175139,1110,29,3743.98,2,0,0.0063,0.24,13.95,1
Zepto,Ariel,Sponsored_Brands,26857.31,114870,1884,75,51437.34,1,0,0.0164,1.92,14.26,1
Swiggy,Sunfeast,Sponsored_Brands,28438.62,160954,3764,203,37256.12,0,0,0.0234,1.31,7.56,1
Swiggy,Oreo,Sponsored_Products,30228.87,234540,8971,523,58813.86,3,0,0.0382,1.95,3.37,1
Blinkit,Bingo,Sponsored_Products,8729.64,75873,2294,161,14947.08,2,0,0.0302,1.71,3.81,1
